sample	029_4870a	046_4949a	054_4976a	065_5037a	083_5091a	088_5114a	113_5241a	115_5235a	160_5453a	178_5685a	180_5521a	186_5559a	188_5571a	197_5625a	199_5632a	203_5662a	207_5670a	220_5717a	222_5735a	225_5747a	227_5749a	228_5756a	289_5851a	293_5828a	LA_RV_352_5899a_S19	LA_RV_372_5944a_S39	LA_RV_382_5978a_S49	LA_RV_389_6006a_S56	LA_RV_395_6024a_S62
PWY-6151: S-adenosyl-L-methionine salvage I	11542.9	9360.02	9242.83	10041.1	8231.27	7585.51	9266.14	8332.25	6121.65	8543.24	5854.08	8166.36	6921.41	10287.9	9458.12	11586.2	8089.17	9255.71	3586.4	4439.06	9825.83	7637.71	8073.25	7971.56	9209.01	9401.05	8653.76	8786.43	8915.68
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	37.8475	0.0	18.8056	0.0	30.7932	44.8248	11.2882	35.0459	0.0	8.72279	289.798	7.91543	133.558	424.161	22.0179	10.3881	6.49478	0.0	0.0	31.148	0.0	29.7895	0.0	0.0	0.0	15.3527	65.7228	16.7919	24.8404
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	13102.1	11136.2	10734.1	10268.2	9211.39	9088.39	9665.04	9815.63	10698.1	9969.96	6572.71	9986.05	8723.1	10078.7	11055.0	11234.4	9807.53	10748.2	4604.09	6060.1	10713.6	8856.88	10439.2	9006.33	11197.9	9901.7	10721.2	9800.54	10767.6
PWY-6165: chorismate biosynthesis II (archaea)	100.354	0.0	49.9819	0.0	81.6561	118.517	30.0429	92.8852	0.0	23.2266	719.557	21.0783	346.418	1053.39	58.5165	27.6579	17.3	0.0	0.0	82.3433	0.0	78.9923	0.0	0.0	0.0	40.8348	173.363	44.6413	65.9851
PWY-6167: flavin biosynthesis II (archaea)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	794.507	0.0	357.163	917.255	0.0	0.0	0.0	0.0	0.0	149.605	0.0	0.0	0.0	0.0	0.0	0.0	223.272	38.9519	0.0
PWY-6168: flavin biosynthesis III (fungi)	1939.04	1806.29	1886.8	1769.79	2759.42	3339.66	1573.4	2763.33	1430.74	2372.25	1964.34	2478.15	2017.53	2229.22	3119.82	2366.39	2538.47	1520.15	2545.64	2603.83	3615.38	1780.46	2907.78	2429.14	3236.02	768.364	2580.9	2106.88	2691.38
PWY-6174: mevalonate pathway II (haloarchaea)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1324	11.3069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0087	0.0	0.0	0.0	0.0	0.0	0.0	57.3372	8.97443	0.0
PWY-6182: superpathway of salicylate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.605	7.98526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.98153	7.01159	0.0	12.225	0.0	0.0	0.0	0.0	0.0	0.0	324.082	13.7711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6210: 2-aminophenol degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3907	0.0	0.0	0.0	0.0	0.0	0.0	2.12118	21.0523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6215: 4-chlorobenzoate degradation	0.0	0.0	4.69837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.768163	13.6231	5.6059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-621: sucrose degradation III (sucrose invertase)	3157.41	2499.81	2339.05	3658.25	3839.95	2536.53	3549.95	2772.7	2613.16	3100.28	2539.86	2294.09	2839.83	1727.04	2595.73	2903.18	2629.27	2514.22	3151.67	3116.83	3154.36	3915.31	2703.19	2068.1	1733.86	3118.68	2043.03	2466.14	2275.98
PWY-622: starch biosynthesis	513.969	0.0	2384.64	783.533	1700.78	1686.19	3746.54	21.9285	0.0	2886.91	2011.56	443.579	273.467	0.0	1688.6	0.0	1863.68	2793.33	17.1935	162.83	1877.55	4446.04	3132.67	3113.67	799.898	5795.63	2562.83	4055.24	1754.68
PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II	31.1544	27.9485	193.545	0.0	36.2272	231.032	54.5309	221.797	0.0	204.141	150.288	351.755	116.415	119.228	0.0	123.615	159.372	0.0	25.5765	764.103	106.7	69.2099	83.5067	39.8508	73.1703	35.6198	178.425	67.0047	150.615
PWY-6270: isoprene biosynthesis I	7676.74	8844.14	7640.63	3909.91	6668.77	6642.6	7601.09	7113.2	8598.34	7893.22	5129.51	7278.21	4747.57	7400.81	8102.87	8199.18	6675.61	8702.07	4102.96	4649.32	8100.63	6662.71	7565.99	6235.49	8547.94	7396.95	6967.49	7835.0	8298.42
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	10336.9	8451.58	7761.39	8496.02	7392.93	7746.49	7994.05	8602.5	7458.92	8584.77	6911.38	8898.89	7926.76	10274.5	8550.95	8751.27	8928.3	9161.98	5019.95	5483.86	8690.87	7485.15	7769.38	6251.81	7866.81	7262.41	9413.56	8077.89	8874.93
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.08115	0.0	10.5796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1825.83	476.798	751.957	1613.84	511.69	1212.11	1351.41	977.304	332.078	506.373	1925.63	1237.38	1034.64	451.786	922.487	349.208	944.018	687.281	2763.57	2684.57	830.805	1118.83	420.847	1308.46	747.061	543.281	581.28	975.35	804.489
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	389.661	330.038	544.68	326.555	361.547	535.796	516.97	659.093	397.642	429.772	1235.63	815.987	244.653	181.179	404.55	386.594	711.431	608.085	2225.69	1519.08	914.524	739.815	397.23	622.142	716.512	360.804	640.897	388.107	300.196
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.0	397.597	746.673	431.798	295.545	807.622	569.351	899.243	448.647	380.284	1617.63	769.469	422.165	0.0	501.083	386.035	904.554	0.0	2618.52	2051.19	1029.62	997.579	351.863	630.097	389.48	486.032	579.014	433.502	477.719
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	413.255	436.705	473.992	412.272	300.86	294.344	276.919	424.35	0.0	427.092	260.588	392.378	340.726	192.878	376.729	153.649	685.74	936.87	130.363	832.941	216.487	854.759	573.971	271.455	340.642	698.317	452.68	522.128	250.771
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	35.7865	49.4471	126.348	0.0	71.6785	360.223	76.5769	222.768	0.0	135.636	493.52	160.288	367.407	177.162	96.9995	0.0	637.166	170.675	266.235	1186.98	144.432	854.546	71.7891	99.9605	41.9532	117.783	157.194	138.629	168.666
PWY-6305: superpathway of putrescine biosynthesis	1345.88	709.216	1523.41	594.106	1339.71	1193.97	1096.85	1003.06	955.662	1062.47	2268.24	1584.52	926.316	748.127	1063.11	1193.06	1882.39	1280.81	4049.85	3463.91	1025.71	1088.54	1310.75	1172.62	877.885	688.186	1075.68	676.615	1274.14
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	28.6579	22.7078	56.6017	1267.74	156.788	249.788	213.643	13.7336	0.0	160.089	439.592	13.9812	452.114	25.7747	24.4875	18.3608	14.7105	154.9	2.99426	10.325	6.35144	532.474	0.0	0.0	4.97205	185.872	38.6389	160.905	63.8687
PWY-6313: serotonin degradation	0.0	5.15515	15.1792	18.8249	26.6675	4.17227	0.0	44.4257	0.0	11.7955	8.55029	27.7436	18.7569	11.1737	17.7869	37.9719	22.3302	83.7438	0.0	29.6173	18.2086	10.0257	31.5983	31.096	15.6343	5.04136	20.955	18.2829	17.0286
PWY-6317: D-galactose degradation I (Leloir pathway)	6454.15	7586.2	7087.67	6966.81	6775.32	6404.75	8237.28	6467.3	9052.4	7933.77	5531.3	7534.91	5286.06	6734.73	8478.06	10144.2	7251.01	8019.45	3870.35	4651.14	7060.34	7251.18	5696.92	5876.52	9259.89	5522.64	7645.19	6403.95	8432.61
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0.0	0.0	0.0	0.0	0.0	7.12569	0.0	0.0	0.0	6.30226	0.0	0.0	22.1941	24.3274	0.0	0.0	8.22189	0.0	0.0	399.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6328: L-lysine degradation X	0.0	0.0	0.0	0.0	0.0	6.00434	0.0	0.0	0.0	8.5667	124.357	0.0	0.0	11.9691	0.0	0.0	8.96566	0.0	0.0	844.437	0.0	0.579641	0.0	39.3959	0.0	0.0	0.0	7.18946	0.0
PWY-6344: L-arginine degradation XIV (oxidative Stickland reaction)	0.0	0.0	0.0	0.0	11.2768	16.9117	0.0	13.1551	0.0	49.0003	155.884	24.3762	336.379	32.9008	0.0	0.0	81.7071	0.0	0.0	36.021	6.95911	9.96562	12.6325	9.17416	0.0	0.0	7.48494	12.1779	11.0028
PWY-6349: CDP-archaeol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.236	0.0	111.636	496.234	0.0	0.0	0.0	0.0	0.0	40.7305	0.0	0.0	0.0	0.0	0.0	0.0	59.3705	11.0148	0.0
PWY-6350: archaetidylinositol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	274.772	0.0	98.6239	449.612	0.0	0.0	0.0	0.0	0.0	35.9999	0.0	0.0	0.0	0.0	0.0	0.0	33.9471	7.73067	0.0
PWY-6353: purine nucleotides degradation II (aerobic)	910.592	2119.36	1476.12	1304.97	1689.44	1948.71	760.229	2717.01	1068.8	2228.47	3444.15	2159.21	3088.44	3289.35	1558.81	1411.32	2078.18	2320.17	5447.88	3521.27	1576.93	1206.69	2217.52	2448.14	1343.43	1547.45	2101.59	2583.28	1492.0
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis	15.8089	0.0	39.7077	38.0055	17.2863	61.0146	11.1339	19.2493	0.0	68.8837	436.052	111.116	85.5389	8.53999	21.5805	0.0	39.9442	42.3902	4.06835	22.6229	24.4974	5.90721	70.2417	77.4022	14.1267	0.0	37.4207	41.3607	42.0415
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	12046.7	10234.4	10056.5	9154.09	8989.99	8189.84	9024.52	9222.51	9681.93	9531.7	7255.21	9013.49	9278.7	9568.15	9926.32	11269.2	9147.19	9535.87	4842.17	6274.48	9932.6	8220.56	10285.1	9980.78	9273.4	8948.53	10046.1	8895.86	9796.38
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	12930.3	10904.7	10358.5	9702.52	9404.9	8879.66	9677.98	9698.48	9708.91	9947.72	7103.45	9556.62	9342.66	10025.0	10378.2	11006.3	9732.81	9938.91	4429.79	6140.25	10563.9	8740.56	10776.7	10261.0	9182.77	9233.68	10509.4	9700.91	10391.6
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	13097.6	10781.5	10230.6	9604.77	9323.84	8810.44	9617.98	9662.61	9604.1	9848.32	7173.51	9501.98	9367.71	10030.6	10234.4	11569.7	9720.17	9821.75	4750.19	6116.49	10457.7	8555.32	10686.4	10287.8	9610.64	9116.72	10324.6	9613.14	10189.0
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0.0	0.0	0.0	0.0	0.0	19.9026	0.0	0.0	0.0	33.7473	38.5785	0.0	98.8855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0082	0.0	0.0	2.92441	0.0	0.0
PWY-6421: arsenate detoxification IV (mycothiol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	11.7549	37.7223	6.52581	8.0453	21.1847	41.9611	88.0726	38.7793	0.0	56.9878	45.1244	203.827	49.8568	9.86451	11.6636	0.0	87.4818	0.0	0.768741	14.2062	127.297	44.1698	0.0	80.5492	34.334	5.07778	105.169	18.2614	43.826
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.13617	0.0	0.0	0.0	0.0	7.6801	0.0	5.97065	0.0	0.0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	1901.55	1739.09	1795.95	142.028	1381.92	2072.81	2048.8	2529.46	2729.91	2873.41	1634.65	1321.97	1620.62	1691.15	906.085	2463.82	2207.51	2723.88	843.699	1926.48	1442.76	3230.66	1511.08	1009.39	275.784	1633.9	1460.16	1537.77	1604.38
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0.0	0.0	185.345	78.2084	110.227	163.281	67.2013	375.713	362.787	284.044	361.182	259.798	292.132	609.78	60.9793	0.0	261.138	0.0	86.1821	252.755	198.157	136.1	92.8052	52.4129	120.467	13.1856	442.364	410.559	296.309
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	25.6243	117.504	55.1059	122.964	11.258	57.1581	244.687	148.556	0.0	35.5391	13.5446	114.441	76.0161	20.6692	42.1771	455.462	113.742	126.798	3.5977	23.7904	33.481	147.121	95.7146	228.983	54.8345	84.5308	133.827	49.8458	209.213
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	1242.89	1727.66	679.131	1147.78	949.638	1205.96	900.718	1268.75	1292.86	2181.66	1460.11	1077.06	671.184	1201.08	1318.12	1870.85	980.61	1087.42	1791.4	1553.18	1416.33	1921.76	576.309	741.737	1092.99	677.756	1161.99	762.305	855.057
PWY-6518: bile acids epimerization	0.0	16.0294	6.05147	0.0	48.086	0.0	67.4041	11.4316	0.0	19.7551	17.519	37.1394	0.0	13.6128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0234	0.0	0.0	0.0	0.0	0.0	0.0	27.969
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	1321.74	513.717	726.24	1593.19	577.437	1210.85	1328.37	1024.55	344.076	560.494	1916.93	1168.24	1100.15	494.826	965.033	290.137	994.696	758.205	3049.7	2560.76	841.121	1050.21	485.063	1330.13	732.561	604.965	580.341	950.467	828.004
PWY-6524: lychnose and isolychnose biosynthesis	0.0	0.0	5.12568	4.62674	0.0	3.82387	0.0	0.0	0.0	1.45995	10.0255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3223	5.4242	0.0	0.0	0.0	0.0	2.48813	0.0	0.0
PWY-6527: stachyose degradation	3820.42	5414.98	5293.21	3312.03	5163.12	4439.56	6439.97	4996.5	6409.94	6192.32	4562.55	5993.85	3525.53	3838.69	5526.66	7495.4	6618.22	6613.29	3536.81	3608.52	5953.99	6355.99	3645.9	4429.02	7231.82	5274.74	6312.18	4887.09	6646.63
PWY-6531: mannitol cycle	147.389	367.609	228.125	119.545	544.534	475.715	856.711	196.53	312.146	251.122	1583.89	337.179	184.612	57.7997	281.796	208.453	203.963	265.752	1828.99	1418.14	256.486	473.216	465.352	240.686	296.532	383.848	131.863	186.878	296.124
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	2063.67	2961.29	4448.46	2738.85	3085.31	3443.74	3092.81	2961.35	3558.0	2720.44	2606.37	2500.09	3704.61	3826.24	2793.75	2116.74	2808.84	2009.73	1593.8	2538.51	2497.32	3328.65	2851.47	4053.07	2728.66	2551.96	3001.9	2490.43	2909.28
PWY-6549: L-glutamine biosynthesis III	1001.36	907.697	2085.06	1776.48	1375.08	2123.4	1449.73	1898.48	574.834	1903.48	1861.04	1816.83	1778.13	1849.35	984.68	849.367	1579.88	1997.53	544.281	1721.0	2075.09	1733.25	1229.42	1415.19	1373.26	837.383	2671.13	1521.33	1519.25
PWY-6562: norspermidine biosynthesis	0.0	54.8099	20.5921	0.0	65.0761	135.857	35.0147	69.6332	0.0	40.7908	63.3393	33.0357	64.3015	32.3417	20.6014	46.7823	7.13939	0.0	39.9598	726.628	26.9843	45.9823	0.0	22.6782	0.0	0.0	16.2383	32.8986	50.8334
PWY-6565: superpathway of polyamine biosynthesis III	0.0	54.9079	20.6235	0.0	65.4608	127.753	35.0648	70.3468	0.0	22.966	3.36652	33.118	65.881	32.7966	20.6167	46.8811	7.14203	0.0	0.0	37.3146	6.07723	46.3539	0.0	2.54534	0.0	0.0	16.2495	33.0887	50.9055
PWY-6572: chondroitin sulfate degradation I (bacterial)	161.534	321.089	128.1	217.827	86.7399	129.655	604.056	182.134	0.0	9.08428	25.7591	33.2141	86.0973	399.029	100.469	66.4974	81.9158	70.0656	0.0	157.083	26.7047	0.0	332.244	205.22	680.557	0.0	76.513	636.924	355.601
PWY-6583: pyruvate fermentation to butanol I	1187.22	1022.37	1486.66	676.847	1348.03	1288.64	1625.76	1815.97	1378.97	1779.24	1542.58	1794.1	1106.66	1694.96	1517.63	1528.89	1801.05	1886.89	912.533	1531.51	1094.61	1150.06	1374.94	1252.46	1835.64	567.405	1669.25	1252.76	1425.67
PWY-6588: pyruvate fermentation to acetone	11.7288	159.069	245.86	31.3658	139.666	192.739	39.0351	468.552	0.0	502.983	746.289	270.618	1293.83	400.076	84.1894	38.018	228.884	94.3985	51.3763	1135.94	151.625	50.8917	134.732	115.507	163.418	0.0	181.301	178.87	264.863
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	994.12	480.609	1302.05	764.358	1034.08	1237.87	1417.38	1639.64	1268.67	924.216	1537.48	1910.92	1757.68	1468.85	1518.27	626.92	1820.93	1804.13	1063.63	1834.29	831.254	977.791	1622.88	739.519	1033.14	434.662	1141.8	1385.56	1441.58
PWY-6594: superpathway of Clostridium acetobutylicum solventogenic fermentation	28.0759	279.233	204.417	75.7653	257.498	381.453	91.4055	206.036	0.0	533.861	1046.71	526.44	719.151	235.419	182.114	0.0	339.315	130.064	117.222	1198.01	264.227	119.48	40.7087	244.17	299.586	0.0	291.188	274.312	376.473
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	138.055	373.447	261.171	35.5521	319.017	231.846	200.966	71.4606	59.6255	350.007	194.818	371.235	434.567	401.873	150.405	25.5616	284.077	162.131	128.988	286.84	344.135	477.801	207.552	260.065	129.262	340.71	355.421	486.298	374.373
PWY-6596: adenosine nucleotides degradation I	0.0	0.0	0.0	0.0	326.716	250.305	0.0	0.0	0.0	48.0932	271.098	103.14	304.243	0.0	7.18031	0.0	21.2646	0.0	0.0	3.8106	0.0	6.69486	0.0	284.967	0.0	0.0	0.0	557.536	361.547
PWY-6604: superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation	38.9706	326.215	273.004	103.508	335.018	483.634	125.316	277.7	0.0	618.632	864.406	679.152	901.253	314.477	246.466	0.0	446.501	177.815	152.605	1232.42	335.743	160.98	56.6282	284.18	380.012	0.0	375.664	365.576	485.354
PWY-6606: guanosine nucleotides degradation II	495.411	1252.01	798.93	715.159	824.377	1134.99	321.814	1588.47	597.919	1292.14	1981.33	1231.97	1814.33	1881.37	799.396	640.546	1186.93	1318.68	3619.64	2341.31	831.625	646.144	1241.0	1415.92	762.423	889.817	1141.98	1465.96	777.41
PWY-6607: guanosine nucleotides degradation I	135.147	364.736	263.941	35.5225	307.754	228.986	185.192	71.5481	59.0914	349.526	198.925	372.893	439.777	415.198	148.294	25.4709	284.842	162.134	129.861	288.232	340.195	437.214	208.389	261.714	127.264	332.412	367.343	504.296	371.422
PWY-6608: guanosine nucleotides degradation III	2092.53	4188.15	1511.95	1778.55	3619.4	3424.21	3393.28	2782.17	2697.12	2661.7	5327.34	2363.29	2868.81	3514.96	2943.58	2903.48	2315.87	2666.41	7393.97	3445.84	2208.34	2360.43	2352.7	2464.97	3405.95	2957.69	1656.76	2160.58	1870.65
PWY-6609: adenine and adenosine salvage III	13624.8	10378.8	10383.7	10017.7	9096.18	9428.23	9308.57	9753.11	9723.05	10303.4	6163.36	10129.8	10248.6	8344.88	9593.82	9753.57	9965.73	9955.24	5324.54	6378.25	9822.13	8411.81	10592.0	9114.38	9992.48	7963.45	9202.14	8392.59	9573.36
PWY-6612: superpathway of tetrahydrofolate biosynthesis	41.1744	468.438	667.163	0.0	799.274	768.243	349.823	1299.1	426.299	491.535	955.786	511.822	436.37	185.732	158.353	90.8131	832.659	134.763	1732.57	1478.85	603.71	591.814	360.19	147.481	277.825	223.291	395.306	335.561	476.47
PWY-6628: superpathway of L-phenylalanine biosynthesis	6290.35	5959.11	5364.79	6905.68	6147.54	5858.18	5891.77	5243.4	6454.69	6069.62	4720.03	5996.93	5411.08	4949.37	6661.5	5767.06	5496.79	6376.29	3153.96	3839.88	6555.97	7151.24	5737.78	5186.32	6295.04	7729.2	6490.53	6715.8	6228.07
PWY-6629: superpathway of L-tryptophan biosynthesis	0.0	0.0	24.3168	0.0	8.28032	82.5719	0.0	24.4663	0.0	48.2551	18.5331	18.8596	95.3214	48.4968	0.0	0.0	62.5046	0.0	0.0	37.6149	51.9509	10.7668	0.0	18.9786	5.40787	0.0	16.9977	9.4141	0.0
PWY-6630: superpathway of L-tyrosine biosynthesis	6247.81	4582.66	5598.85	6682.23	6013.36	5448.67	5611.68	5014.77	5841.61	5827.66	4626.96	5660.49	5221.84	5821.11	7196.86	5520.31	5527.3	6533.99	2840.72	3402.22	6303.03	6043.96	5740.05	5109.32	6120.42	7827.26	6873.08	6697.03	6922.22
PWY-6641: superpathway of sulfolactate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.396	16.5138	193.096	36.9181	0.0	0.0	0.0	0.0	0.0	171.097	0.0	0.0	0.0	0.0	0.0	0.0	21.193	6.17472	0.0
PWY-6654: phosphopantothenate biosynthesis III (archaebacteria)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445.075	11.6299	143.29	576.314	0.0	0.0	0.0	0.0	0.0	38.3168	0.0	0.0	0.0	0.0	0.0	0.0	66.304	11.7141	0.0
PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.2775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0.0	0.0	0.0	31.8136	0.0	15.563	0.0	0.0	0.0	0.0	892.786	28.8064	7.10607	0.0	0.0	0.0	45.8334	0.0	2577.01	440.941	10.2547	6.26975	0.0	56.2367	14.6479	0.0	0.0	23.7384	0.0
PWY-6700: queuosine biosynthesis I (de novo)	11116.4	8398.36	7709.46	9249.8	8106.6	7863.41	8148.25	8162.44	8168.65	8994.44	5567.5	9103.4	9775.17	9785.64	8555.25	9842.13	8939.18	8793.52	3575.47	5254.57	8537.41	6621.2	8030.38	8570.58	8844.39	8159.8	8627.88	8003.82	9245.96
PWY-6703: preQ0 biosynthesis	4697.31	4455.37	3658.39	5662.52	4276.25	3941.98	4077.4	4982.11	5794.05	3922.8	2179.32	3976.11	6329.31	3482.99	4242.81	4353.47	4193.58	4353.84	2779.62	3265.66	5418.56	3823.46	6434.42	5166.71	3841.56	5444.85	3200.56	5176.06	3277.18
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.162	27.5358	0.0	0.0	0.0	0.0	0.0	0.0	161.671	258.696	12.6309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6731: starch degradation III	1704.0	1854.58	1729.18	2758.01	2206.78	1188.33	2558.97	1530.04	181.342	2328.87	2683.98	1737.09	1739.16	992.998	881.568	602.957	1166.39	1966.18	3317.04	1113.47	1440.43	2123.69	821.04	1200.32	2580.72	1777.17	911.914	2520.81	1065.04
PWY-6748: nitrate reduction VII (denitrification)	0.0	0.0	0.0	0.0	0.0	13.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1026	0.0	0.0	0.0	0.0	0.0	9.84611	11.208	0.0	0.0
PWY-6749: CMP-legionaminate biosynthesis I	579.812	288.934	818.124	501.206	1660.9	509.072	566.021	976.859	3080.77	931.326	623.402	1114.32	1486.05	1335.96	2087.82	272.359	741.04	1148.89	110.492	854.417	1195.64	1143.07	530.72	354.176	1646.98	1410.47	413.246	1221.2	1225.56
PWY-6763: salicortin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	0.0	32.7785	27.1822	0.0	0.0	28.5268	0.0	65.4388	0.0	52.6426	94.3247	36.6682	56.1529	47.5448	0.0	0.0	33.5125	0.0	1.27268	30.8615	4.72143	0.0	0.0	0.0	13.9711	0.0	14.9675	17.6218	15.5043
PWY-6803: phosphatidylcholine acyl editing	0.0	52.1248	61.4393	22.2754	84.0045	369.314	180.605	171.41	0.0	348.343	1240.52	265.018	56.8555	54.0644	156.731	0.0	168.514	0.0	1704.21	1672.52	94.6538	55.0455	57.3193	250.646	120.647	0.0	50.2515	106.208	117.078
PWY-6807: xyloglucan degradation II (exoglucanase)	425.003	194.504	422.447	3514.66	2279.6	391.205	0.0	780.773	0.0	725.387	9.64011	299.794	1488.27	851.971	90.498	31.2154	49.4381	899.808	459.28	15.3225	683.737	2216.27	402.104	317.241	109.086	3023.11	64.2403	1942.86	299.652
PWY-6823: molybdopterin biosynthesis	2612.35	6812.96	2749.14	3868.22	3873.38	3892.21	3165.08	4358.0	4625.56	4437.26	2935.84	3537.73	2567.62	3319.05	5117.1	3581.23	3978.57	4836.65	2068.86	1848.1	3327.28	3672.41	3836.67	2861.23	4547.17	2108.86	2975.89	3183.5	3428.98
PWY-6834: spermidine biosynthesis III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6837: fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
